Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
META,12/31/24,,,,584.99,0,-5.72,-0.97%
META,12/30/24,588.23,596.41,585.06,590.71,7018194,-8.56,-1.43%
META,12/27/24,598.88,601.32,589.28,599.28,8091548,-3.54,-0.59%
META,12/26/24,604.94,605.76,598.41,602.81,6115393,-4.40,-0.72%
META,12/24/24,602.18,607.45,598.75,607.21,4731816,7.89,1.32%
META,12/23/24,589.08,600.56,585.73,599.32,10203091,14.59,2.49%
META,12/20/24,590.05,602.57,579.48,584.73,50434704,-14.39,-2.40%
META,12/19/24,609.85,610.98,597.71,599.12,8682705,2.46,0.41%
META,12/18/24,620.45,626.80,595.79,596.66,17048242,-22.23,-3.59%
META,12/17/24,625.61,631.81,615.99,618.89,13299544,-4.80,-0.77%
META,12/16/24,629.41,630.59,618.03,623.68,11139953,4.39,0.71%
META,12/13/24,626.16,630.01,615.84,619.30,8678063,-10.42,-1.66%
META,12/12/24,630.43,635.58,626.15,629.72,7477904,-1.89,-0.30%
META,12/11/24,622.31,637.32,620.48,631.61,10995945,13.34,2.16%
META,12/10/24,616.51,624.53,611.70,618.27,10941857,5.74,0.94%
META,12/09/24,622.86,625.34,605.14,612.53,11434515,-10.18,-1.64%
META,12/06/24,609.07,628.72,607.50,622.71,17047304,14.81,2.44%
META,12/05/24,616.03,618.85,606.02,607.90,8300799,-4.84,-0.79%
META,12/04/24,611.92,616.73,604.08,612.74,14712753,0.13,0.02%
META,12/03/24,593.99,613.16,590.25,612.61,14897431,20.78,3.51%
META,12/02/24,576.52,593.49,574.60,591.83,12534184,18.48,3.22%
META,11/29/24,568.04,577.48,565.94,573.35,7142620,5.11,0.90%
META,11/27/24,573.92,574.01,563.14,568.24,7212943,-4.33,-0.76%
META,11/26/24,565.04,576.52,564.24,572.57,10369028,8.41,1.49%
META,11/25/24,561.15,571.62,555.45,564.15,13604048,5.96,1.07%
META,11/22/24,562.60,562.87,553.65,558.19,9179669,-3.94,-0.70%
META,11/21/24,568.55,569.03,548.12,562.14,11320418,-2.43,-0.43%
META,11/20/24,561.98,565.39,553.26,564.56,9781253,4.42,0.79%
META,11/19/24,550.92,560.48,549.67,560.14,9171480,6.68,1.21%
META,11/18/24,556.10,558.95,549.16,553.46,14351915,0.32,0.06%
META,11/15/24,570.25,571.60,550.57,553.14,17743496,-23.04,-4.00%
META,11/14/24,576.02,579.78,572.04,576.18,11052662,-2.84,-0.49%
META,11/13/24,581.62,584.65,574.20,579.02,10766446,-4.81,-0.82%
META,11/12/24,587.54,598.64,579.40,583.83,16296450,1.65,0.28%
META,11/11/24,585.37,586.01,575.53,582.18,10205711,-6.16,-1.05%
META,11/08/24,590.54,592.10,583.53,588.34,9603432,-2.36,-0.40%
META,11/07/24,575.91,593.79,574.24,590.70,14656099,19.62,3.44%
META,11/06/24,561.80,572.03,554.23,571.08,18300386,-0.38,-0.07%
META,11/05/24,566.34,572.51,565.71,571.46,9765302,11.73,2.10%
META,11/04/24,563.14,567.73,556.95,559.73,12078324,-6.47,-1.14%
META,11/01/24,566.64,572.70,561.61,566.20,15329526,-0.42,-0.07%
META,10/31/24,584.01,588.90,562.06,566.62,26884666,-24.18,-4.09%
META,10/30/24,599.96,600.18,588.38,590.80,26776270,-1.48,-0.25%
META,10/29/24,579.17,592.66,574.42,592.27,12956359,15.10,2.62%
META,10/28/24,581.01,582.76,573.15,577.18,10934408,4.90,0.86%
META,10/25/24,572.96,580.30,570.75,572.28,11537690,5.46,0.96%
META,10/24/24,566.17,567.92,560.57,566.82,7193012,4.08,0.73%
META,10/23/24,578.99,584.01,561.55,562.74,14259456,-18.29,-3.15%
META,10/22/24,573.32,582.54,571.15,581.02,8553218,6.84,1.19%
META,10/21/24,575.05,576.26,568.15,574.19,8177426,-1.31,-0.23%
META,10/18/24,580.12,582.98,574.27,575.49,7707476,-0.46,-0.08%
META,10/17/24,582.34,583.98,574.23,575.95,8805978,0.14,0.02%
META,10/16/24,580.41,581.09,573.06,575.81,11280653,-9.46,-1.62%
META,10/15/24,589.16,589.61,579.16,585.28,9576037,-4.14,-0.70%
META,10/14/24,593.21,599.08,588.96,589.42,8257110,0.47,0.08%
META,10/11/24,583.84,590.21,581.72,588.95,8605294,6.11,1.05%
META,10/10/24,586.58,589.23,581.53,582.84,7749568,-6.67,-1.13%
META,10/09/24,592.98,593.38,580.62,589.51,9590628,-2.38,-0.40%
META,10/08/24,588.69,592.55,584.98,591.89,7901404,8.10,1.39%
META,10/07/24,597.21,601.93,583.05,583.79,12019586,-11.14,-1.87%
META,10/04/24,582.74,595.84,580.45,594.93,14185742,13.15,2.26%
META,10/03/24,569.18,582.37,567.77,581.78,11595939,9.94,1.74%
META,10/02/24,573.89,575.02,568.38,571.84,6530203,-3.65,-0.63%
META,10/01/24,577.00,582.05,569.13,575.49,15277139,4.02,0.70%
META,09/30/24,566.74,573.71,563.84,571.47,12819933,5.16,0.91%
META,09/27/24,569.13,569.87,563.55,566.31,9414316,-0.57,-0.10%
META,09/26/24,574.75,576.42,561.40,566.88,14418867,-0.47,-0.08%
META,09/25/24,563.09,575.90,562.76,567.35,16559755,4.97,0.88%
META,09/24/24,565.72,566.78,553.25,562.38,13009245,-1.08,-0.19%
META,09/23/24,568.53,573.01,561.46,563.45,12843160,3.05,0.55%
META,09/20/24,559.05,563.54,555.36,560.40,22104408,2.25,0.40%
META,09/19/24,549.07,561.12,545.59,558.15,15659192,21.11,3.93%
META,09/18/24,536.16,543.28,533.00,537.04,10322519,1.63,0.31%
META,09/17/24,536.69,541.18,529.67,535.41,12112784,3.03,0.57%
META,09/16/24,523.65,533.20,516.52,532.38,9533534,9.14,1.75%
META,09/13/24,518.96,526.18,515.74,523.23,10348800,-0.98,-0.19%
META,09/12/24,515.68,525.32,513.86,524.21,12091502,13.73,2.69%
META,09/11/24,505.67,511.76,494.29,510.48,10803929,7.02,1.39%
META,09/10/24,506.82,512.82,498.70,503.45,9921619,0.00,0.00%
META,09/09/24,504.82,509.98,500.75,503.45,11074216,4.51,0.90%
META,09/06/24,520.50,523.20,496.93,498.95,14783859,-16.55,-3.21%
META,09/05/24,510.37,520.25,509.80,515.49,8656941,4.11,0.80%
META,09/04/24,504.73,515.22,502.74,511.38,8351014,0.98,0.19%
META,09/03/24,518.26,524.10,507.27,510.41,12486732,-9.53,-1.83%
META,08/30/24,519.97,522.15,513.84,519.93,9181918,3.08,0.60%
META,08/29/24,517.68,525.80,514.32,516.85,8335229,1.44,0.28%
META,08/28/24,516.30,519.71,511.09,515.41,9120514,-2.31,-0.45%
META,08/27/24,517.61,522.62,513.95,517.73,6296752,-2.01,-0.39%
META,08/26/24,526.20,526.60,513.59,519.74,9605716,-6.86,-1.30%
META,08/23/24,535.50,538.44,523.67,526.60,11354111,-3.92,-0.74%
META,08/22/24,535.58,542.79,527.19,530.52,15745838,-3.22,-0.60%
META,08/21/24,525.75,537.97,525.54,533.74,13453274,8.41,1.60%
META,08/20/24,526.95,529.68,524.49,525.34,8034536,-2.54,-0.48%
META,08/19/24,525.48,530.25,521.38,527.88,9901448,1.86,0.35%
META,08/16/24,530.49,532.25,523.27,526.02,14866195,-9.88,-1.84%
META,08/15/24,530.38,538.34,525.31,535.91,13506899,10.54,2.01%
META,08/14/24,526.66,532.59,521.75,525.37,11469261,-1.78,-0.34%
META,08/13/24,518.63,530.09,516.78,527.14,13857615,12.56,2.44%
META,08/12/24,515.49,516.65,507.75,514.59,9804209,-1.81,-0.35%
META,08/09/24,506.37,516.97,504.36,516.40,13733191,8.12,1.60%
META,08/08/24,496.18,508.61,493.41,508.28,16177112,20.65,4.24%
META,08/07/24,501.80,508.80,485.57,487.63,20124478,-5.16,-1.05%
META,08/06/24,477.73,501.23,477.38,492.78,20986188,18.31,3.86%
META,08/05/24,450.16,482.20,449.61,474.47,21421114,-12.38,-2.54%
META,08/02/24,487.71,499.82,474.89,486.85,24123216,-9.57,-1.93%
META,08/01/24,519.62,525.78,490.80,496.42,43161828,22.85,4.82%
META,07/31/24,469.77,475.24,465.51,473.57,24036646,11.61,2.51%
META,07/30/24,465.76,471.48,455.49,461.96,11384644,-2.51,-0.54%
META,07/29/24,468.64,472.71,463.79,464.48,11359729,0.01,0.00%
META,07/26/24,462.97,468.53,458.20,464.47,14260305,12.26,2.71%
META,07/25/24,462.03,462.32,441.48,452.21,18307514,-7.84,-1.70%
META,07/24/24,471.05,475.04,459.36,460.05,17688568,-27.35,-5.61%
META,07/23/24,488.54,493.91,486.43,487.40,9467678,1.29,0.26%
META,07/22/24,485.29,490.76,482.62,486.11,12047314,10.58,2.23%
META,07/19/24,474.80,485.42,474.45,475.53,15192092,0.94,0.20%
META,07/18/24,473.74,477.97,463.31,474.59,19301888,13.82,3.00%
META,07/17/24,477.90,477.90,457.90,460.77,28134848,-27.73,-5.68%
META,07/16/24,500.17,502.62,484.50,488.49,14091842,-6.35,-1.28%
META,07/15/24,497.31,505.34,492.06,494.85,12561782,-2.70,-0.54%
META,07/12/24,496.44,506.75,492.92,497.55,19804318,-13.79,-2.70%
META,07/11/24,529.49,534.04,507.03,511.34,16489668,-21.93,-4.11%
META,07/10/24,529.39,537.45,526.96,533.27,11006017,4.68,0.88%
META,07/09/24,532.34,536.06,526.79,528.60,8789293,0.68,0.13%
META,07/08/24,540.91,541.37,525.26,527.92,14933027,-10.56,-1.96%
META,07/05/24,510.25,539.44,510.25,538.48,21411514,29.87,5.87%
META,07/03/24,505.03,509.93,504.68,508.61,6021665,0.46,0.09%
META,07/02/24,499.44,509.15,498.13,508.15,7752626,4.81,0.96%
META,07/01/24,503.61,505.24,491.87,503.35,10352179,0.46,0.09%
META,06/28/24,515.78,520.50,502.51,502.89,15897798,-15.30,-2.95%
META,06/27/24,512.89,521.50,512.54,518.18,10443469,6.42,1.25%
META,06/26/24,505.30,512.45,503.34,511.76,8896662,2.51,0.49%
META,06/25/24,495.74,509.36,494.19,509.25,12132387,11.66,2.34%
META,06/24/24,497.88,506.46,492.98,497.59,13551678,4.12,0.83%
META,06/21/24,502.12,502.12,491.09,493.47,23244572,-6.90,-1.38%
META,06/20/24,500.67,502.34,495.46,500.37,11921051,2.20,0.44%
META,06/18/24,503.23,504.66,493.71,498.17,13095307,-7.12,-1.41%
META,06/17/24,500.34,509.40,494.70,505.29,11390675,2.46,0.49%
META,06/14/24,501.32,505.81,499.43,502.83,10771951,0.56,0.11%
META,06/13/24,503.87,507.51,499.54,502.27,9999467,-4.72,-0.93%
META,06/12/24,512.12,512.14,502.64,506.99,12019975,1.37,0.27%
META,06/11/24,498.34,505.75,496.46,505.62,9704598,4.85,0.97%
META,06/10/24,492.06,500.83,491.62,500.77,11273257,9.61,1.96%
META,06/07/24,494.11,497.10,488.39,491.17,9415195,-0.80,-0.16%
META,06/06/24,491.19,500.99,489.11,491.96,10694685,-1.30,-0.26%
META,06/05/24,482.69,494.85,482.15,493.26,15739834,18.01,3.79%
META,06/04/24,475.27,477.15,471.51,475.26,7109533,-0.50,-0.10%
META,06/03/24,469.15,477.86,466.54,475.75,11315877,10.62,2.28%
META,05/31/24,464.11,467.42,452.81,465.13,16983418,-0.22,-0.05%
META,05/30/24,469.96,470.01,463.02,465.35,10768720,-7.28,-1.54%
META,05/29/24,472.94,478.11,471.98,472.64,9264087,-5.54,-1.16%
META,05/28/24,474.85,479.11,473.11,478.18,10213457,1.69,0.36%
META,05/24/24,465.92,478.11,464.61,476.48,12068583,12.40,2.67%
META,05/23/24,471.16,472.63,459.86,464.09,11782584,-1.99,-0.43%
META,05/22/24,466.17,472.00,463.96,466.08,10098533,3.14,0.68%
META,05/21/24,465.42,468.99,460.59,462.94,11779349,-4.20,-0.90%
META,05/20/24,468.24,471.48,465.34,467.14,11783108,-3.06,-0.65%
META,05/17/24,469.12,471.08,466.72,470.19,11003895,-1.31,-0.28%
META,05/16/24,473.27,475.95,471.03,471.51,16843286,-8.28,-1.73%
META,05/15/24,473.25,480.75,469.49,479.79,13137150,9.66,2.05%
META,05/14/24,461.69,470.82,458.41,470.13,10512769,3.83,0.82%
META,05/13/24,471.03,471.63,461.17,466.31,14714911,-8.16,-1.72%
META,05/10/24,475.36,475.76,467.89,474.47,10789249,0.78,0.16%
META,05/09/24,468.29,474.35,465.93,473.69,9463130,2.81,0.60%
META,05/08/24,461.81,473.85,461.32,470.88,11716449,4.34,0.93%
META,05/07/24,464.60,469.82,459.63,466.54,13449798,2.55,0.55%
META,05/06/24,453.92,464.47,451.69,463.99,15136925,13.67,3.04%
META,05/03/24,444.31,452.52,442.24,450.32,16549692,10.24,2.33%
META,05/02/24,437.25,442.35,430.71,440.07,15284519,2.48,0.57%
META,05/01/24,427.04,448.32,425.56,437.59,20408502,8.99,2.10%
META,04/30/24,429.48,438.02,428.16,428.61,18483366,-2.44,-0.57%
META,04/29/24,437.96,438.16,427.00,431.05,21588252,-10.63,-2.41%
META,04/26/24,439.86,444.82,430.39,441.68,32815046,1.90,0.43%
META,04/25/24,419.87,444.15,412.99,439.78,83142176,-51.93,-10.56%
META,04/24/24,506.21,508.15,482.82,491.71,37410984,-2.59,-0.52%
META,04/23/24,489.46,496.95,487.19,494.30,15086586,14.32,2.98%
META,04/22/24,487.93,490.22,471.68,479.98,17320758,0.66,0.14%
META,04/19/24,500.97,500.97,474.00,479.32,25807816,-20.65,-4.13%
META,04/18/24,498.00,510.35,497.23,499.98,14847834,7.60,1.54%
META,04/17/24,501.27,501.33,485.37,492.37,12288386,-5.57,-1.12%
META,04/16/24,496.30,502.94,495.30,497.94,9872226,-0.47,-0.09%
META,04/15/24,514.84,516.64,495.47,498.41,13654613,-11.63,-2.28%
META,04/12/24,515.87,518.30,507.48,510.04,12028260,-11.15,-2.14%
META,04/11/24,519.22,521.96,515.41,521.19,10393815,3.25,0.63%
META,04/10/24,507.44,520.66,503.96,517.94,11450166,2.92,0.57%
META,04/09/24,520.33,523.96,504.90,515.02,10909087,-2.34,-0.45%
META,04/08/24,527.36,529.56,517.00,517.36,13299670,-8.06,-1.53%
META,04/05/24,514.98,528.77,512.54,525.42,19334028,16.36,3.21%
META,04/04/24,514.54,528.07,508.72,509.06,26530620,4.16,0.82%
META,04/03/24,497.12,505.40,496.94,504.90,12236916,9.34,1.88%
META,04/02/24,483.34,495.72,482.89,495.56,11109218,6.00,1.23%
META,04/01/24,485.43,495.62,480.03,489.56,9274353,5.75,1.19%
META,03/28/24,491.05,487.71,483.39,483.81,15277033,-8.25,-1.68%
META,03/27/24,497.49,498.07,486.30,492.06,10016238,-2.02,-0.41%
META,03/26/24,503.29,508.15,493.41,494.09,11235104,-7.10,-1.42%
META,03/25/24,503.95,505.38,498.42,501.19,8407557,-6.54,-1.29%
META,03/22/24,505.16,508.12,502.51,507.73,8150319,1.81,0.36%
META,03/21/24,512.84,513.17,504.17,505.91,9749747,2.23,0.44%
META,03/20/24,497.68,506.35,493.37,503.68,11736948,9.25,1.87%
META,03/19/24,486.40,494.82,479.53,494.44,10937970,-0.74,-0.15%
META,03/18/24,490.12,495.61,485.04,495.17,11781093,12.83,2.66%
META,03/15/24,487.23,490.04,479.55,482.34,29766908,-7.70,-1.57%
META,03/14/24,498.44,499.53,486.39,490.04,12659875,-3.73,-0.75%
META,03/13/24,493.59,499.16,489.25,493.77,12113005,-4.16,-0.84%
META,03/12/24,491.47,500.48,482.97,497.93,15491382,16.10,3.34%
META,03/11/24,495.20,495.51,474.27,481.83,20481374,-22.28,-4.42%
META,03/08/24,512.32,521.67,497.54,504.11,18671154,-6.22,-1.22%
META,03/07/24,501.45,517.96,499.56,510.33,18625242,16.04,3.25%
META,03/06/24,495.82,501.14,492.50,494.29,11783521,5.85,1.20%
META,03/05/24,493.20,493.78,486.12,488.44,15560756,-7.94,-1.60%
META,03/04/24,501.17,502.59,494.62,496.38,12353371,-4.09,-0.82%
META,03/01/24,490.32,502.42,490.06,500.47,16429688,12.13,2.48%
META,02/29/24,486.67,489.91,480.86,488.35,18041594,6.09,1.26%
META,02/28/24,483.24,489.26,481.00,482.26,12979265,-3.02,-0.62%
META,02/27/24,478.24,485.50,478.18,485.28,10886794,5.29,1.10%
META,02/26/24,481.71,484.37,478.85,479.99,12129789,-2.28,-0.47%
META,02/23/24,486.28,492.56,480.60,482.27,18441692,-2.09,-0.43%
META,02/22/24,478.49,488.21,474.33,484.36,21684416,18.03,3.87%
META,02/21/24,464.80,467.30,460.11,466.33,12979030,-3.21,-0.68%
META,02/20/24,467.51,473.95,464.37,469.54,18081610,-1.56,-0.33%
META,02/16/24,475.87,476.71,467.01,471.10,23666562,-10.66,-2.21%
META,02/15/24,473.05,486.33,470.00,481.76,24302498,10.70,2.27%
META,02/14/24,465.74,471.89,463.90,471.06,16939028,13.10,2.86%
META,02/13/24,454.73,465.69,452.95,457.96,20999192,-8.74,-1.87%
META,02/12/24,465.99,476.90,464.39,466.70,19458906,0.79,0.17%
META,02/09/24,470.73,471.37,465.27,465.91,18500238,-1.88,-0.40%
META,02/08/24,466.12,468.38,462.85,467.80,19186988,0.41,0.09%
META,02/07/24,455.85,469.31,454.04,467.39,23150440,14.80,3.27%
META,02/06/24,461.82,464.93,450.88,452.59,21721646,-4.67,-1.02%
META,02/05/24,467.68,469.69,457.07,457.25,40963816,-15.51,-3.28%
META,02/02/24,457.44,483.68,450.88,472.76,85109544,79.83,20.32%
META,02/01/24,392.09,398.62,391.21,392.93,29034152,4.62,1.19%
META,01/31/24,387.18,396.13,385.28,388.31,20235486,-9.87,-2.48%
META,01/30/24,401.70,404.45,397.70,398.18,18903816,-0.96,-0.24%
META,01/29/24,393.13,401.04,391.26,399.14,18774320,6.85,1.75%
META,01/26/24,392.50,394.93,389.75,392.29,13237489,0.95,0.24%
META,01/25/24,388.34,393.63,383.85,391.34,15147971,2.47,0.63%
META,01/24/24,388.17,394.29,385.99,388.87,15800967,5.47,1.43%
META,01/23/24,382.81,386.56,380.28,383.39,15580434,3.40,0.90%
META,01/22/24,386.13,388.52,379.37,379.99,17753856,-1.66,-0.44%
META,01/19/24,377.22,382.56,376.20,381.65,21799812,7.29,1.95%
META,01/18/24,369.75,375.08,369.21,374.37,16481721,7.72,2.11%
META,01/17/24,364.58,366.81,356.93,366.64,13381928,0.91,0.25%
META,01/16/24,371.90,373.85,365.51,365.74,15376207,-7.00,-1.88%
META,01/12/24,368.41,375.29,367.81,372.73,19403778,4.80,1.30%
META,01/11/24,370.38,371.03,361.23,367.94,17267334,-0.80,-0.22%
META,01/10/24,358.48,371.19,357.40,368.73,22199788,12.98,3.65%
META,01/09/24,354.73,358.95,353.69,355.75,13519180,-1.23,-0.34%
META,01/08/24,353.04,357.30,350.40,356.98,13939957,6.68,1.91%
META,01/05/24,345.36,351.84,344.64,350.30,14078175,4.81,1.39%
META,01/04/24,342.88,346.52,341.79,345.49,12148768,2.64,0.77%
META,01/03/24,343.36,346.32,341.56,342.85,15513107,-1.81,-0.53%
